top-level_category,second-level_category,date,residual
Audio,Media Players,2025-02-01,-4140.182792817669
Audio,Media Players,2025-03-01,-3051.856978019029
Audio,Media Players,2025-04-01,12509.849172724063
Audio,Media Players,2025-05-01,5651.330880953345
Audio,Media Players,2025-06-01,-1182.1559457385424
Audio,Media Players,2025-07-01,-6051.6655447534295
Audio,Media Players,2025-08-01,1845.07219161738
Audio,Media Players,2025-09-01,-3790.7283215200114
Audio,Media Players,2025-10-01,3060.330752492151
Audio,Media Players,2025-11-01,-2098.529911670579
Audio,Microphones,2022-03-01,24925.0
Audio,Microphones,2022-04-01,-2370.3122992491335
Audio,Microphones,2022-05-01,-3268.271392725288
Audio,Microphones,2022-06-01,-7195.21191056884
Audio,Microphones,2022-07-01,-1730.4331870172027
Audio,Microphones,2022-08-01,-2854.149835625438
Audio,Microphones,2022-09-01,3769.6337339835154
Audio,Microphones,2022-10-01,-16422.034350395566
Audio,Microphones,2022-11-01,-17949.11231113503
Audio,Microphones,2022-12-01,16374.315039713743
Audio,Microphones,2023-01-01,481.3087596150144
Audio,Microphones,2023-02-01,-1220.7072449587722
Audio,Microphones,2023-03-01,51316.064472549464
Audio,Microphones,2023-04-01,-35666.71072244614
Audio,Microphones,2023-05-01,-10693.39584909394
Audio,Microphones,2023-06-01,-24866.662646218552
Audio,Microphones,2023-07-01,-7563.812787832845
Audio,Microphones,2023-08-01,-9819.053945462074
Audio,Microphones,2023-09-01,-3011.0296891187827
Audio,Microphones,2023-10-01,-34915.34540158632
Audio,Microphones,2023-11-01,-18755.789384515956
Audio,Microphones,2023-12-01,32670.115891801062
Audio,Microphones,2024-01-01,10632.840975404031
Audio,Microphones,2024-02-01,-5416.524411177277
Audio,Microphones,2024-03-01,26073.401426342636
Audio,Microphones,2024-04-01,-61583.01019237624
Audio,Microphones,2024-05-01,54954.62812947159
Audio,Microphones,2024-06-01,29262.57695155617
Audio,Microphones,2024-07-01,-48867.67876276835
Audio,Microphones,2024-08-01,-27281.362117834695
Audio,Microphones,2024-09-01,36719.67219006587
Audio,Microphones,2024-10-01,-95901.13010230988
Audio,Microphones,2024-11-01,-42786.061956400226
Audio,Microphones,2024-12-01,65347.29565026339
Audio,Microphones,2025-01-01,-1329.5260339737142
Audio,Microphones,2025-02-01,-29507.07417849944
Audio,Microphones,2025-03-01,55135.299796268315
Audio,Microphones,2025-04-01,-158054.6719300111
Audio,Microphones,2025-05-01,37774.582079725646
Audio,Microphones,2025-06-01,-33690.00772439361
Audio,Microphones,2025-07-01,-71869.4389906961
Audio,Microphones,2025-08-01,14751.110222581689
Audio,Microphones,2025-09-01,90175.99307990096
Audio,Microphones,2025-10-01,259987.0050416195
Audio,Microphones,2025-11-01,7486.73900815344
Audio,Others,2022-03-01,0.0
Audio,Others,2022-04-01,1562.0
Audio,Others,2022-05-01,10758.440572933883
Audio,Others,2022-06-01,-5812.908928605996
Audio,Others,2022-07-01,-6469.316488638145
Audio,Others,2022-08-01,7405.012974876579
Audio,Others,2022-09-01,3168.2182922713328
Audio,Others,2022-10-01,5130.104543992609
Audio,Others,2022-11-01,-8844.099306388332
Audio,Others,2022-12-01,-2976.946942713562
Audio,Others,2023-01-01,1185.609411991718
Audio,Others,2023-02-01,21.74732587581275
Audio,Others,2023-03-01,19137.78055150246
Audio,Others,2023-04-01,-8901.012943327076
Audio,Others,2023-05-01,-8978.940064073444
Audio,Others,2023-06-01,1286.173176166545
Audio,Others,2023-07-01,-2952.2073817814953
Audio,Others,2023-08-01,-2478.9170750364783
Audio,Others,2023-09-01,2532.663019784488
Audio,Others,2023-10-01,10069.629188592184
Audio,Others,2023-11-01,-1159.2090871686269
Audio,Others,2023-12-01,-1244.9600406406807
Audio,Others,2024-01-01,1751.496134459163
Audio,Others,2024-02-01,-1251.919078582967
Audio,Others,2024-03-01,253.76397838731648
Audio,Others,2024-04-01,-6609.956655682272
Audio,Others,2024-05-01,30305.497357196426
Audio,Others,2024-06-01,-1116.6832637846564
Audio,Others,2024-07-01,-3213.7188476323354
Audio,Others,2024-08-01,-16879.98388650336
Audio,Others,2024-09-01,16222.643727265791
Audio,Others,2024-10-01,-8321.566316394437
Audio,Others,2024-11-01,3847.8904687855575
Audio,Others,2024-12-01,23025.750333506952
Audio,Others,2025-01-01,-17820.117487311494
Audio,Others,2025-02-01,-21058.21421584809
Audio,Others,2025-03-01,-9362.080847317096
Audio,Others,2025-04-01,638.9451834229903
Audio,Others,2025-05-01,6909.391328410282
Audio,Others,2025-06-01,4357.062750071025
Audio,Others,2025-07-01,17.655474330955258
Audio,Others,2025-08-01,14923.91527129951
Audio,Others,2025-09-01,10915.126056837997
Audio,Others,2025-10-01,18615.104237801217
Audio,Others,2025-11-01,-12376.876502010997
Automobiles,Automobile Exterior Accessories,2022-03-01,68102.0
Automobiles,Automobile Exterior Accessories,2022-04-01,-26060.003888300867
Automobiles,Automobile Exterior Accessories,2022-05-01,-360.5436297714041
Automobiles,Automobile Exterior Accessories,2022-06-01,-6741.499557467672
Automobiles,Automobile Exterior Accessories,2022-07-01,-1722.4127667216308
Automobiles,Automobile Exterior Accessories,2022-08-01,13232.500466972995
Automobiles,Automobile Exterior Accessories,2022-09-01,-23632.535962153517
Automobiles,Automobile Exterior Accessories,2022-10-01,-29382.29970687622
Automobiles,Automobile Exterior Accessories,2022-11-01,-38349.76723015703
Automobiles,Automobile Exterior Accessories,2022-12-01,24748.501903958862
Automobiles,Automobile Exterior Accessories,2023-01-01,-4936.922836320366
Automobiles,Automobile Exterior Accessories,2023-02-01,-12929.44864699272
Automobiles,Automobile Exterior Accessories,2023-03-01,41156.56837233897
Automobiles,Automobile Exterior Accessories,2023-04-01,-79161.08324548343
Automobiles,Automobile Exterior Accessories,2023-05-01,-38849.69672710654
Automobiles,Automobile Exterior Accessories,2023-06-01,-47952.87266563511
Automobiles,Automobile Exterior Accessories,2023-07-01,-34536.605981032306
Automobiles,Automobile Exterior Accessories,2023-08-01,-16311.264760802558
Automobiles,Automobile Exterior Accessories,2023-09-01,-38712.77723230899
Automobiles,Automobile Exterior Accessories,2023-10-01,-31876.98431269267
Automobiles,Automobile Exterior Accessories,2023-11-01,-46238.33462475156
Automobiles,Automobile Exterior Accessories,2023-12-01,-1312.7286599579238
Automobiles,Automobile Exterior Accessories,2024-01-01,-2686.8644048580027
Automobiles,Automobile Exterior Accessories,2024-02-01,344.64747539190284
Automobiles,Automobile Exterior Accessories,2024-03-01,-38093.027342836416
Automobiles,Automobile Exterior Accessories,2024-04-01,-91582.11075663014
Automobiles,Automobile Exterior Accessories,2024-05-01,165724.0478196204
Automobiles,Automobile Exterior Accessories,2024-06-01,-8812.678457210306
Automobiles,Automobile Exterior Accessories,2024-07-01,-112888.62591925803
Automobiles,Automobile Exterior Accessories,2024-08-01,-44553.60291097677
Automobiles,Automobile Exterior Accessories,2024-09-01,85521.0961340497
Automobiles,Automobile Exterior Accessories,2024-10-01,-141895.35670851645
Automobiles,Automobile Exterior Accessories,2024-11-01,10242.713152541895
Automobiles,Automobile Exterior Accessories,2024-12-01,-53530.20717496149
Automobiles,Automobile Exterior Accessories,2025-01-01,-52997.881022321046
Automobiles,Automobile Exterior Accessories,2025-02-01,-45403.04274770238
Automobiles,Automobile Exterior Accessories,2025-03-01,-44319.238647655264
Automobiles,Automobile Exterior Accessories,2025-04-01,1330.9995353964914
Automobiles,Automobile Exterior Accessories,2025-05-01,11724.440779475495
Automobiles,Automobile Exterior Accessories,2025-06-01,-37888.66658820555
Automobiles,Automobile Exterior Accessories,2025-07-01,-110502.33445162016
Automobiles,Automobile Exterior Accessories,2025-08-01,231449.16858542024
Automobiles,Automobile Exterior Accessories,2025-09-01,116363.10695433604
Automobiles,Automobile Exterior Accessories,2025-10-01,133210.33698090678
Automobiles,Automobile Exterior Accessories,2025-11-01,-100776.78974783886
Automobiles,Automobile Interior Accessories,2022-03-01,83516.0
Automobiles,Automobile Interior Accessories,2022-04-01,-21846.285855233815
Automobiles,Automobile Interior Accessories,2022-05-01,8650.360153645248
Automobiles,Automobile Interior Accessories,2022-06-01,-5903.482622773779
Automobiles,Automobile Interior Accessories,2022-07-01,7520.996635208372
Automobiles,Automobile Interior Accessories,2022-08-01,10814.734261196323
Automobiles,Automobile Interior Accessories,2022-09-01,-10487.058756745944
Automobiles,Automobile Interior Accessories,2022-10-01,-20003.28065274151
Automobiles,Automobile Interior Accessories,2022-11-01,35822.44720171632
