second-level_category,date,residual
Art Supplies,2024-09-01,508225.43425768614
Art Supplies,2024-10-01,-289624.46050412254
Art Supplies,2024-11-01,99459.00081625511
Art Supplies,2024-12-01,-128886.36643834587
Art Supplies,2025-01-01,262242.85060996143
Art Supplies,2025-02-01,-161043.3548469392
Art Supplies,2025-03-01,149259.53720062357
Art Supplies,2025-04-01,-67434.33836701629
Art Supplies,2025-05-01,28750.485518099624
Art Supplies,2025-06-01,176751.99849193543
Art Supplies,2025-07-01,-334329.20882584923
Art Supplies,2025-08-01,507185.58860907314
Art Supplies,2025-09-01,423735.7201778861
Art Supplies,2025-10-01,342713.5811706309
Art Supplies,2025-11-01,241763.33252517413
Audio & Video Cables & Converters,2022-03-01,8994.0
Audio & Video Cables & Converters,2022-04-01,2652.6088650507118
Audio & Video Cables & Converters,2022-05-01,1062.800293417733
Audio & Video Cables & Converters,2022-06-01,1077.9649780060008
Audio & Video Cables & Converters,2022-07-01,15152.023662648577
Audio & Video Cables & Converters,2022-08-01,19480.856064437
Audio & Video Cables & Converters,2022-09-01,21301.114011152422
Audio & Video Cables & Converters,2022-10-01,6552.832002437201
Audio & Video Cables & Converters,2022-11-01,1812.5520739403055
Audio & Video Cables & Converters,2022-12-01,-680.9158722539032
Audio & Video Cables & Converters,2023-01-01,-3338.5463134445217
Audio & Video Cables & Converters,2023-02-01,-2680.1975936969247
Audio & Video Cables & Converters,2023-03-01,22170.96066337952
Audio & Video Cables & Converters,2023-04-01,3076.780097885927
Audio & Video Cables & Converters,2023-05-01,-2849.9953632624783
Audio & Video Cables & Converters,2023-06-01,-2826.669363765239
Audio & Video Cables & Converters,2023-07-01,-1025.0427434924477
Audio & Video Cables & Converters,2023-08-01,-1052.0752071670613
Audio & Video Cables & Converters,2023-09-01,9465.02281527043
Audio & Video Cables & Converters,2023-10-01,9899.263851949032
Audio & Video Cables & Converters,2023-11-01,2309.962982424815
Audio & Video Cables & Converters,2023-12-01,-3186.8264901136645
