category,forecast_date,predicted_sold_per_month
Baby Travel Essentials,2026-06-01,73932.15
Baby Travel Essentials,2026-07-01,49802.94
Baby Travel Essentials,2026-08-01,23467.52
Baby Travel Essentials,2026-09-01,0.0
Baby Travel Essentials,2026-10-01,23530.49
Baby Travel Essentials,2026-11-01,72767.36
Backpacks,2025-12-01,102258.77
Backpacks,2026-01-01,108750.53
Backpacks,2026-02-01,104684.15
Backpacks,2026-03-01,188565.02
Backpacks,2026-04-01,187705.08
Backpacks,2026-05-01,194012.22
Backpacks,2026-06-01,208352.76
Backpacks,2026-07-01,222385.07
Backpacks,2026-08-01,241615.17
Backpacks,2026-09-01,201643.12
Backpacks,2026-10-01,173537.84
Backpacks,2026-11-01,165265.78
Bag Accessories,2025-12-01,1474994.52
Bag Accessories,2026-01-01,1445398.85
Bag Accessories,2026-02-01,1503368.12
Bag Accessories,2026-03-01,1580285.98
Bag Accessories,2026-04-01,1624136.79
Bag Accessories,2026-05-01,1611418.29
Bag Accessories,2026-06-01,1571123.08
Bag Accessories,2026-07-01,1631582.64
Bag Accessories,2026-08-01,1642724.29
Bag Accessories,2026-09-01,1555979.68
Bag Accessories,2026-10-01,1645383.5
Bag Accessories,2026-11-01,1606177.54
Bakery,2025-12-01,41330.67
Bakery,2026-01-01,23947.23
Bakery,2026-02-01,23167.32
Bakery,2026-03-01,25647.43
Bakery,2026-04-01,24396.35
Bakery,2026-05-01,59165.89
Bakery,2026-06-01,25888.52
Bakery,2026-07-01,18093.66
Bakery,2026-08-01,17895.59
Bakery,2026-09-01,24701.68
Bakery,2026-10-01,25742.47
Bakery,2026-11-01,22705.78
Baking Needs,2025-12-01,74192.71
Baking Needs,2026-01-01,72137.35
Baking Needs,2026-02-01,71057.49
Baking Needs,2026-03-01,119026.47
Baking Needs,2026-04-01,124256.5
Baking Needs,2026-05-01,154028.94
Baking Needs,2026-06-01,148534.98
Baking Needs,2026-07-01,126885.58
Baking Needs,2026-08-01,125834.29
Baking Needs,2026-09-01,123596.77
Baking Needs,2026-10-01,117931.21
Baking Needs,2026-11-01,132202.55
Bath & Body Care,2025-12-01,0.0
Bath & Body Care,2026-01-01,0.0
Bath & Body Care,2026-02-01,0.0
Bath & Body Care,2026-03-01,0.0
Bath & Body Care,2026-04-01,0.0
Bath & Body Care,2026-05-01,0.0
Bath & Body Care,2026-06-01,0.0
Bath & Body Care,2026-07-01,0.0
Bath & Body Care,2026-08-01,0.0
Bath & Body Care,2026-09-01,0.0
Bath & Body Care,2026-10-01,0.0
Bath & Body Care,2026-11-01,0.0
Bathrooms,2025-12-01,6588783.33
Bathrooms,2026-01-01,5494031.45
Bathrooms,2026-02-01,5879543.58
Bathrooms,2026-03-01,6241372.07
Bathrooms,2026-04-01,6306201.93
Bathrooms,2026-05-01,6846863.39
Bathrooms,2026-06-01,9926962.57
Bathrooms,2026-07-01,6940683.39
Bathrooms,2026-08-01,7708324.04
Bathrooms,2026-09-01,9357931.09
Bathrooms,2026-10-01,4323966.15
Bathrooms,2026-11-01,3632263.19
Batteries,2025-12-01,418208.98
Batteries,2026-01-01,404972.78
Batteries,2026-02-01,408936.18
Batteries,2026-03-01,400926.89
Batteries,2026-04-01,435447.24
Batteries,2026-05-01,425367.29
Batteries,2026-06-01,418966.25
Batteries,2026-07-01,429112.69
Batteries,2026-08-01,425828.65
Batteries,2026-09-01,432080.46
Batteries,2026-10-01,441481.7
Batteries,2026-11-01,438339.75
Beauty Sets & Packages,2025-12-01,2146622.51
Beauty Sets & Packages,2026-01-01,1990009.41
Beauty Sets & Packages,2026-02-01,2075180.94
Beauty Sets & Packages,2026-03-01,2139404.91
Beauty Sets & Packages,2026-04-01,2427108.9
Beauty Sets & Packages,2026-05-01,2632254.34
Beauty Sets & Packages,2026-06-01,3624428.22
Beauty Sets & Packages,2026-07-01,2369118.69
Beauty Sets & Packages,2026-08-01,2229479.73
Beauty Sets & Packages,2026-09-01,3081991.71
Beauty Sets & Packages,2026-10-01,1726316.65
Beauty Sets & Packages,2026-11-01,902426.98
Beauty Tools,2025-12-01,18571463.26
Beauty Tools,2026-01-01,17922697.15
Beauty Tools,2026-02-01,17163212.62
Beauty Tools,2026-03-01,16432880.72
Beauty Tools,2026-04-01,15548565.9
Beauty Tools,2026-05-01,14920538.57
Beauty Tools,2026-06-01,14481344.57
Beauty Tools,2026-07-01,13477368.31
Beauty Tools,2026-08-01,12926876.68
Beauty Tools,2026-09-01,207871950.83
Beauty Tools,2026-10-01,12122375.69
Beauty Tools,2026-11-01,12315162.17
Bedding,2025-12-01,1364865.25
Bedding,2026-01-01,1210765.21
Bedding,2026-02-01,1321752.53
Bedding,2026-03-01,830451.15
Bedding,2026-04-01,1295490.34
Bedding,2026-05-01,2648527.67
Bedding,2026-06-01,4802581.73
Bedding,2026-07-01,1675395.81
Bedding,2026-08-01,1143977.22
Bedding,2026-09-01,1922534.42
Bedding,2026-10-01,192714.51
Bedding,2026-11-01,1031273.34
Belts,2025-12-01,115126.6
Belts,2026-01-01,43661.55
Belts,2026-02-01,31879.81
Belts,2026-03-01,31134.29
Belts,2026-04-01,29744.75
Belts,2026-05-01,33236.47
Belts,2026-06-01,152259.91
Belts,2026-07-01,41713.06
Belts,2026-08-01,67007.63
Belts,2026-09-01,475951.48
Belts,2026-10-01,42610.08
Belts,2026-11-01,32269.1
Beverages,2025-12-01,2136921.66
Beverages,2026-01-01,2401931.28
Beverages,2026-02-01,2675105.79
Beverages,2026-03-01,3128128.17
Beverages,2026-04-01,3496594.41
Beverages,2026-05-01,3901323.68
Beverages,2026-06-01,4322390.79
Beverages,2026-07-01,4702276.03
Beverages,2026-08-01,5167070.7
Beverages,2026-09-01,5622194.58
Beverages,2026-10-01,6095787.2
Beverages,2026-11-01,6619397.66
Books,2025-12-01,819115.61
Books,2026-01-01,1289460.6
Books,2026-02-01,703935.3
Books,2026-03-01,1360749.1
Books,2026-04-01,699347.02
Books,2026-05-01,1463872.63
Books,2026-06-01,646237.33
Books,2026-07-01,1620845.27
Books,2026-08-01,586920.96
Books,2026-09-01,2005521.26
Books,2026-10-01,703726.92
Books,2026-11-01,3272439.06
Boots,2025-12-01,137304.86
Boots,2026-01-01,100354.6
Boots,2026-02-01,91983.08
Boots,2026-03-01,88693.05
Boots,2026-04-01,85381.11
Boots,2026-05-01,127844.63
Boots,2026-06-01,143453.7
Boots,2026-07-01,148566.95
Boots,2026-08-01,113799.19
Boots,2026-09-01,134321.96
Boots,2026-10-01,127169.26
Boots,2026-11-01,88902.01
Boy Clothes,2025-12-01,734524.46
Boy Clothes,2026-01-01,407855.01
Boy Clothes,2026-02-01,427715.67
Boy Clothes,2026-03-01,49678.87
Boy Clothes,2026-04-01,782728.77
Boy Clothes,2026-05-01,1677068.81
Boy Clothes,2026-06-01,3106245.31
Boy Clothes,2026-07-01,1242061.62
Boy Clothes,2026-08-01,771372.77
Boy Clothes,2026-09-01,501375.35
Boy Clothes,2026-10-01,294789.33
Boy Clothes,2026-11-01,432757.79
Boy Shoes,2025-12-01,128982.86
Boy Shoes,2026-01-01,0.0
Boy Shoes,2026-02-01,5805.02
Boy Shoes,2026-03-01,7831.48
Boy Shoes,2026-04-01,2797.46
Boy Shoes,2026-05-01,59696.14
Boy Shoes,2026-06-01,61940.39
Boy Shoes,2026-07-01,49500.59
Boy Shoes,2026-08-01,9216.89
Boy Shoes,2026-09-01,36764.38
Boy Shoes,2026-10-01,1688.36
Boy Shoes,2026-11-01,44648.66
Bracelets & Bangles,2025-12-01,307457.29
Bracelets & Bangles,2026-01-01,301266.6
Bracelets & Bangles,2026-02-01,412750.86
Bracelets & Bangles,2026-03-01,622601.43
Bracelets & Bangles,2026-04-01,610477.0
Bracelets & Bangles,2026-05-01,566876.68
Bracelets & Bangles,2026-06-01,392803.76
Bracelets & Bangles,2026-07-01,442911.76
Bracelets & Bangles,2026-08-01,463149.45
Bracelets & Bangles,2026-09-01,0.0
Bracelets & Bangles,2026-10-01,529862.81
Bracelets & Bangles,2026-11-01,600386.11
Breakfast Cereals & Spread,2025-12-01,55054.84
Breakfast Cereals & Spread,2026-01-01,57631.16
Breakfast Cereals & Spread,2026-02-01,62337.45
Breakfast Cereals & Spread,2026-03-01,73538.28
Breakfast Cereals & Spread,2026-04-01,68486.81
Breakfast Cereals & Spread,2026-05-01,80053.46
Breakfast Cereals & Spread,2026-06-01,97943.93
Breakfast Cereals & Spread,2026-07-01,72682.06
Breakfast Cereals & Spread,2026-08-01,90039.52
Breakfast Cereals & Spread,2026-09-01,94408.35
Breakfast Cereals & Spread,2026-10-01,76156.52
Breakfast Cereals & Spread,2026-11-01,69543.65
Briefcases,2025-12-01,3139.1
Briefcases,2026-01-01,1798.26
Briefcases,2026-02-01,3055.62
